index,iou_raw,accuracy_raw,iou_eval,accuracy_eval,label_flipped_for_eval,runtime_sec,iterations,converged,fg_ratio_raw,fg_ratio_eval,em_iterations,em_log_likelihood
0,0.035976015989340415,0.5980555555555556,0.035976015989340415,0.5980555555555556,0.0,11.287603797999964,16.0,1.0,0.3997222222222222,0.3997222222222222,60.0,24465.929672541588
1,0.0009643201542912244,0.13666666666666666,0.29613733905579354,0.8633333333333333,1.0,7.589820306000092,11.0,1.0,0.8066666666666666,0.19333333333333333,29.0,17312.251209514143
2,0.0022508038585208998,0.13805555555555554,0.29302987197723995,0.8619444444444444,1.0,7.598930636999967,11.0,1.0,0.8066666666666666,0.19333333333333333,29.0,17312.251209514143
3,0.002624671916010498,0.05,0.6392785571142271,0.95,1.0,6.8066806189999625,10.0,1.0,0.8638888888888889,0.1361111111111111,9.0,22058.258111611467
4,0.0020366598778004067,0.04722222222222222,0.8635634028892449,0.9527777777777777,1.0,6.311954401999856,9.0,1.0,0.6558333333333334,0.3441666666666667,6.0,19442.276356089773
5,0.008084750487872872,0.011666666666666667,0.9002375296912092,0.9883333333333333,1.0,6.213040073000002,9.0,1.0,0.8911111111111111,0.10888888888888888,12.0,22945.15023716157
6,0.12019524100061006,0.5994444444444444,0.2281831187410586,0.40055555555555555,1.0,9.633934710999938,14.0,1.0,0.27805555555555556,0.7219444444444445,12.0,20935.517597381826
7,0.00435540069686411,0.0475,0.7942238267148005,0.9525,1.0,6.961875152000175,10.0,1.0,0.7733333333333333,0.22666666666666666,7.0,21941.111571982903
8,0.001525785779676533,0.09111111111111111,0.6009732360097316,0.9088888888888889,1.0,7.934559462999914,12.0,1.0,0.7730555555555556,0.22694444444444445,15.0,19589.00851177895
9,0.0003226847370119392,0.13944444444444445,0.5816666666666662,0.8605555555555555,1.0,7.406986739999866,11.0,1.0,0.6669444444444445,0.33305555555555555,12.0,18363.93276905213
10,0.0017142857142857138,0.029444444444444443,0.6547231270358285,0.9705555555555555,1.0,8.631727125999987,10.0,1.0,0.9163888888888889,0.08361111111111111,19.0,20418.420709521222
11,0.0026193247962747373,0.04805555555555555,0.5871121718377074,0.9519444444444445,1.0,8.333167898000283,10.0,1.0,0.8861111111111111,0.11388888888888889,17.0,20044.444843127094
12,0.002366863905325443,0.06333333333333334,0.5769944341372902,0.9366666666666666,1.0,7.141049307999765,10.0,1.0,0.8525,0.1475,14.0,19731.10562332552
13,0.06462457975345534,0.30444444444444446,0.3267813267813266,0.6955555555555556,1.0,10.61083949299973,15.0,1.0,0.5958333333333333,0.4041666666666667,59.0,14804.576856719017
14,0.012732919254658382,0.11694444444444445,0.5274971941638602,0.8830555555555556,1.0,9.160692618000212,13.0,1.0,0.7638888888888888,0.2361111111111111,15.0,17577.506426783977
15,0.0004258943781942077,0.34805555555555556,0.2815366972477063,0.6519444444444444,1.0,10.19978793700011,13.0,1.0,0.5158333333333334,0.4841666666666667,6.0,17316.063526024234
16,0.0,0.3686111111111111,0.18187422934648573,0.6313888888888889,1.0,10.643704236999838,14.0,1.0,0.5494444444444444,0.45055555555555554,37.0,15265.639393147461
17,0.0011201344161299353,0.009166666666666667,0.9234338747099746,0.9908333333333333,1.0,7.862689296000099,11.0,1.0,0.8813888888888889,0.11861111111111111,29.0,21109.33470702963
18,0.0,0.2866666666666667,0.11340206185567002,0.7133333333333334,1.0,9.235950684000272,15.0,1.0,0.6766666666666666,0.3233333333333333,16.0,17075.73049117837
19,0.1914798206278026,0.49916666666666665,0.1914798206278026,0.49916666666666665,0.0,6.3831126660002155,9.0,1.0,0.6194444444444445,0.6194444444444445,22.0,17326.485270219087
