index,iou,accuracy,runtime_sec,iterations,converged,fg_ratio
0,0.0,0.9677777777777777,5.277206329992623,9.0,1.0,0.0
1,0.9078341013824843,0.9944444444444445,9.482961708999937,20.0,0.0,0.056666666666666664
2,0.9004524886877787,0.9938888888888889,7.855745307999314,20.0,0.0,0.0575
3,0.6957494407158821,0.9622222222222222,9.307434670001385,20.0,0.0,0.11944444444444445
4,0.8874895046179674,0.9627777777777777,9.702696213993477,20.0,0.0,0.3236111111111111
5,0.9103773584905639,0.9894444444444445,6.23009967400867,13.0,1.0,0.11166666666666666
6,0.9201388888888878,0.9808333333333333,9.559165163009311,20.0,0.0,0.2288888888888889
7,0.8402597402597392,0.9658333333333333,9.55023413800518,20.0,0.0,0.2061111111111111
8,0.650904033379693,0.9302777777777778,10.74292209999112,20.0,0.0,0.19111111111111112
9,0.7554038680318536,0.9402777777777778,10.436559335008496,20.0,0.0,0.23444444444444446
10,0.7674418604651132,0.9833333333333333,9.494509264011867,20.0,0.0,0.06916666666666667
11,0.7868852459016367,0.9819444444444444,9.350967550009955,20.0,0.0,0.08055555555555556
12,0.8245125348189392,0.9825,8.309019164997153,20.0,0.0,0.09333333333333334
13,0.8834951456310667,0.9766666666666667,8.70718126000429,20.0,0.0,0.18138888888888888
14,0.7351973684210514,0.9552777777777778,9.103314844003762,20.0,0.0,0.1511111111111111
15,0.8336594911937361,0.9763888888888889,9.286035320998053,20.0,0.0,0.12361111111111112
16,0.581081081081079,0.9655555555555555,9.289250164991245,20.0,0.0,0.04805555555555555
17,0.9383886255924148,0.9927777777777778,6.499911020000582,14.0,1.0,0.11555555555555555
18,0.7883211678832059,0.9919444444444444,9.088039595997543,16.0,1.0,0.03138888888888889
19,0.8714596949891048,0.9836111111111111,11.888194751008996,20.0,0.0,0.12
