index,iou,accuracy,runtime_sec,iterations,converged,fg_ratio
0,0.0,0.9677777777777777,8.867342197991093,9.0,1.0,0.0
1,0.9154929577464745,0.995,11.626483077998273,11.0,1.0,0.055
2,0.8783783783783744,0.9925,10.354888343004859,11.0,1.0,0.056666666666666664
3,0.7004504504504488,0.9630555555555556,12.17976896300388,13.0,1.0,0.11861111111111111
4,0.8856181665264922,0.9622222222222222,9.84316371200839,12.0,1.0,0.3219444444444444
5,0.9103773584905639,0.9894444444444445,6.80108417700103,8.0,1.0,0.11166666666666666
6,0.907300115874854,0.9777777777777777,11.93434230600542,14.0,1.0,0.22527777777777777
7,0.8369987063389381,0.965,10.469647828998859,12.0,1.0,0.20694444444444443
8,0.6605374823196596,0.9333333333333333,13.845843318005791,14.0,1.0,0.1875
9,0.7421171171171163,0.9363888888888889,12.759224817011273,14.0,1.0,0.23555555555555555
10,0.7547892720306484,0.9822222222222222,10.985588597002788,13.0,1.0,0.06972222222222223
11,0.7868852459016367,0.9819444444444444,11.910318360998644,14.0,1.0,0.08055555555555556
12,0.8199445983379479,0.9819444444444444,13.32972110999981,14.0,1.0,0.09388888888888888
13,0.8672199170124469,0.9733333333333334,13.976375913000084,14.0,1.0,0.17916666666666667
14,0.7235772357723566,0.9527777777777777,10.116697360004764,12.0,1.0,0.1525
15,0.8196078431372532,0.9744444444444444,9.082915712002432,11.0,1.0,0.12111111111111111
16,0.6283783783783762,0.9694444444444444,14.263086396997096,14.0,1.0,0.051944444444444446
17,0.9428571428571405,0.9933333333333333,8.274494455006788,9.0,1.0,0.115
18,0.7999999999999942,0.9925,8.47180083899002,10.0,1.0,0.030833333333333334
19,0.8558951965065483,0.9816666666666667,10.632411907005007,13.0,1.0,0.1175
