method,difficulty_bucket,count,clue_min,clue_max,clue_mean,solve_rate,convergence_rate,mean_iterations,std_iterations,mean_runtime_sec,std_runtime_sec
bp,hard,2.0,28.0,29.0,28.5,1.0,1.0,39.5,1.5,2.649490332507412,0.031553248496493325
bp,medium,28.0,31.0,35.0,33.392857142857146,0.9285714285714286,0.9285714285714286,42.285714285714285,30.54838918229001,3.6041508014277497,2.3996250127154792
bp,easy,70.0,36.0,76.0,46.614285714285714,0.9857142857142858,1.0,25.0,6.092149515096105,2.2118572276703032,0.6869217852049253
trw,hard,2.0,28.0,29.0,28.5,0.0,1.0,76.5,0.5,28.581183003501792,0.7315625654955511
trw,medium,28.0,31.0,35.0,33.392857142857146,0.42857142857142855,0.9642857142857143,79.17857142857143,35.95935559909327,28.790117923213465,13.125813688460736
trw,easy,70.0,36.0,76.0,46.614285714285714,0.8428571428571429,1.0,59.82857142857143,19.424558409079857,21.80863852752934,7.551691194582784
