method,difficulty_bucket,count,clue_min,clue_max,clue_mean,solve_rate,convergence_rate,mean_iterations,std_iterations,mean_runtime_sec,std_runtime_sec
bp,hard_q,38.0,28.0,36.0,33.68421052631579,0.9473684210526315,0.9473684210526315,40.0,26.56174534531708,3.3674356570772943,2.1126766173409943
bp,medium_q,30.0,37.0,43.0,39.46666666666667,1.0,1.0,28.066666666666666,4.836895239257881,2.4939954286664334,0.6965414014993103
bp,easy_q,32.0,44.0,76.0,55.96875,0.96875,1.0,20.34375,3.8778971024899564,1.820712225405714,0.4586126982465268
trw,hard_q,38.0,28.0,36.0,33.68421052631579,0.4473684210526316,0.9736842105263158,78.71052631578948,31.655138349618973,28.697437832446763,11.736562043815336
trw,medium_q,30.0,37.0,43.0,39.46666666666667,0.7666666666666667,1.0,70.36666666666666,14.079496518775885,25.79178555903442,5.7340531362109175
trw,easy_q,32.0,44.0,76.0,55.96875,0.96875,1.0,45.5,13.901438774457844,16.42606751187577,5.142983879685853
