index,iou,accuracy,runtime_sec,iterations,converged,fg_ratio
0,0.8473921442369605,0.8683333333333333,6.360064100008458,15.0,1.0,0.8427777777777777
1,0.8791257805530772,0.9247222222222222,5.751102700014599,13.0,1.0,0.5980555555555556
2,0.8755799240826652,0.9180555555555555,4.660141600004863,11.0,1.0,0.6152777777777778
3,0.7183333333333332,0.7183333333333334,5.965381699963473,15.0,1.0,1.0
4,0.7406784412671711,0.7430555555555556,5.5123758999980055,14.0,1.0,0.9869444444444444
5,0.7426710097719845,0.9780555555555556,3.9911411000066437,10.0,1.0,0.07083333333333333
6,0.8472998137802591,0.9772222222222222,4.710554499994032,12.0,1.0,0.1338888888888889
7,0.6637222053000302,0.6933333333333334,6.2347461999743246,15.0,1.0,0.8938888888888888
8,0.816127061698228,0.9163888888888889,6.34101410000585,15.0,1.0,0.4111111111111111
9,0.6838888888888888,0.6838888888888889,6.3061915000434965,15.0,1.0,1.0
10,0.5167074164629173,0.8352777777777778,6.749371399986558,16.0,1.0,0.28583333333333333
11,0.7030878859857478,0.8611111111111112,5.788077800010797,14.0,1.0,0.3688888888888889
12,0.8107266435986157,0.8480555555555556,5.852748600009363,14.0,1.0,0.7994444444444444
13,0.9048800661703884,0.9361111111111111,6.128440500004217,15.0,1.0,0.6563888888888889
14,0.9322033898305074,0.9822222222222222,5.00150409998605,12.0,1.0,0.2563888888888889
15,0.921262989608313,0.9452777777777778,6.347901500004809,15.0,1.0,0.6938888888888889
16,0.5428392745465913,0.7969444444444445,8.096738199994434,15.0,1.0,0.35805555555555557
17,0.7580555555555554,0.7580555555555556,8.957910800003447,16.0,1.0,1.0
18,0.967363590005099,0.9822222222222222,4.167525299999397,10.0,1.0,0.5361111111111111
19,0.6782178217821779,0.8013888888888889,6.212163599964697,15.0,1.0,0.5547222222222222
