index,iou_raw,accuracy_raw,iou_eval,accuracy_eval,label_flipped_for_eval,runtime_sec,iterations,converged,fg_ratio_raw,fg_ratio_eval,em_iterations,em_log_likelihood
0,0.5547073791348599,0.6597222222222222,0.5547073791348599,0.6597222222222222,0.0,11.41823060799993,12.0,1.0,0.43694444444444447,0.43694444444444447,15.0,16090.392139431859
1,0.18653911855141778,0.3386111111111111,0.5539699963410171,0.6613888888888889,1.0,11.503776486000106,15.0,1.0,0.3925,0.6075,59.0,15793.778883585215
2,0.17496522948539633,0.1761111111111111,0.7165847116674114,0.8238888888888889,1.0,10.740774534000138,14.0,1.0,0.5533333333333333,0.44666666666666666,51.0,15803.651425607899
3,0.5169221868672258,0.5361111111111111,0.5169221868672258,0.5361111111111111,0.0,11.203899854999918,15.0,1.0,0.7383333333333333,0.7383333333333333,7.0,18330.42821460341
4,0.21362113881652392,0.41305555555555556,0.5833566825441299,0.5869444444444445,1.0,9.631128483999873,13.0,1.0,0.16805555555555557,0.8319444444444445,20.0,22454.432620447064
5,0.021708878374617307,0.02361111111111111,0.7038327526132379,0.9763888888888889,1.0,8.932613600999957,11.0,1.0,0.9419444444444445,0.058055555555555555,21.0,26331.287136073253
6,0.7736943907156658,0.9675,0.7736943907156658,0.9675,0.0,9.221860235999884,12.0,1.0,0.11305555555555556,0.11305555555555556,13.0,24788.31811707462
7,0.13937656753851663,0.3327777777777778,0.6075990828693087,0.6672222222222223,1.0,10.114483637000149,13.0,1.0,0.26,0.74,6.0,21410.31345777448
8,0.720825274016763,0.8797222222222222,0.720825274016763,0.8797222222222222,0.0,10.073476839000023,13.0,1.0,0.32666666666666666,0.32666666666666666,5.0,24635.646482209224
9,0.37927149831017637,0.5408333333333334,0.42718446601941734,0.45916666666666667,1.0,10.275021303999893,14.0,1.0,0.3363888888888889,0.6636111111111112,7.0,16225.711689343781
10,0.3444316877152696,0.6827777777777778,0.3444316877152696,0.6827777777777778,0.0,11.070675832999996,15.0,1.0,0.41944444444444445,0.41944444444444445,9.0,17294.26914662184
11,0.255135135135135,0.6172222222222222,0.32462006079027345,0.3827777777777778,1.0,11.186765694000087,14.0,1.0,0.21722222222222223,0.7827777777777778,9.0,14469.827836486762
12,0.20072332730560571,0.3861111111111111,0.5642633228840124,0.6138888888888889,1.0,8.507744781000156,10.0,1.0,0.26805555555555555,0.7319444444444444,31.0,13758.683763343613
13,0.5379858657243815,0.7094444444444444,0.5379858657243815,0.7094444444444444,0.0,9.875814319000028,12.0,1.0,0.3441666666666667,0.3441666666666667,6.0,17929.88050366433
14,0.005084745762711863,0.021666666666666667,0.918834547346513,0.9783333333333334,1.0,10.740777852000065,13.0,1.0,0.7380555555555556,0.2619444444444444,19.0,13227.44607901975
15,0.25245993815012646,0.2613888888888889,0.5999149659863944,0.7386111111111111,1.0,12.396756611,12.0,1.0,0.5961111111111111,0.4038888888888889,10.0,12615.544901284582
16,0.38507600184246876,0.6291666666666667,0.38507600184246876,0.6291666666666667,0.0,15.21530932099995,15.0,1.0,0.5080555555555556,0.5080555555555556,4.0,20431.805818443994
17,0.4988864142538974,0.5,0.4988864142538974,0.5,0.0,9.957970049000096,14.0,1.0,0.7375,0.7375,19.0,14174.015348486464
18,0.9658685685175747,0.9813888888888889,0.9658685685175747,0.9813888888888889,0.0,7.5435378590000255,10.0,1.0,0.5363888888888889,0.5363888888888889,60.0,16953.05491272855
19,0.624161073825503,0.8133333333333334,0.624161073825503,0.8133333333333334,0.0,8.257830618999833,12.0,1.0,0.32555555555555554,0.32555555555555554,7.0,12565.947189096882
